"","V1","V2"
"1","Abmachung","0.004"
"2","Abschluß","0.004"
"3","Abstimmung","0.004"
"4","Agilität","0.004"
"5","Aktivität","0.004"
"6","Aktualisierung","0.004"
"7","Aktualität","0.004"
"8","Akzeptanz","0.004"
"9","Andrang","0.004"
"10","Anerkennung","0.0855"
"11","Angebot","0.0711"
"12","Angemessenheit","0.004"
"13","Anhebung","0.004"
"14","Anheiterung","0.004"
"15","Ankurbelung","0.004"
"16","Annehmlichkeit","0.004"
"17","Annäherung","0.004"
"18","Anpassung","0.004"
"19","Anpassungsfähigkeit","0.004"
"20","Anreicherung","0.004"
"21","Anspruch","0.004"
"22","Anstand","0.004"
"23","Anstieg","0.004"
"24","Anständigkeit","0.004"
"25","Anteil","0.004"
"26","Anziehung","0.004"
"27","Applaus","0.0871"
"28","Attraktivität","0.004"
"29","Aufbereitung","0.004"
"30","Aufbesserung","0.004"
"31","Auferstehung","0.004"
"32","Aufmerksamkeit","0.004"
"33","Aufmunterung","0.004"
"34","Aufrichtigkeit","0.004"
"35","Aufschwung","0.004"
"36","Aufstieg","0.004"
"37","Aufstockung","0.004"
"38","Auftrag","0.004"
"39","Auftrieb","0.004"
"40","Aufwertung","0.004"
"41","Aufwärtstrend","0.004"
"42","Augenweide","0.0844"
"43","Ausbau","0.004"
"44","Ausbildung","0.004"
"45","Ausdauer","0.0886"
"46","Ausgleich","0.004"
"47","Ausgleichszahlung","0.004"
"48","Auszeichnung","0.004"
"49","Authentizität","0.004"
"50","Autonomie","0.004"
"51","Bedeutung","0.004"
"52","Befreiung","0.004"
"53","Befriedigung","0.004"
"54","Beförderung","0.004"
"55","Begeisterung","0.32"
"56","Begnadigung","0.004"
"57","Begünstigung","0.004"
"58","Beifall","0.3265"
"59","Beifallsruf","0.004"
"60","Beilegung","0.004"
"61","Beisteuerung","0.004"
"62","Beitritt","0.004"
"63","Bekräftigung","0.004"
"64","Belastbarkeit","0.004"
"65","Belebtheit","0.004"
"66","Beliebtheit","0.004"
"67","Belohnung","0.0813"
"68","Benefiz","0.004"
"69","Bereicherung","0.004"
"70","Bereitschaft","0.004"
"71","Bereitstellung","0.004"
"72","Beruhigung","0.004"
"73","Bescheidenheit","0.0852"
"74","Beschleunigung","0.004"
"75","Beschwichtigung","0.004"
"76","Besitz","0.004"
"77","Besserung","0.004"
"78","Bestätigung","0.004"
"79","Beteiligung","0.004"
"80","Bewunderer","0.004"
"81","Bewunderung","0.004"
"82","Bildung","0.004"
"83","Blüte","0.004"
"84","Bonität","0.004"
"85","Bonus","0.004"
"86","Boom","0.004"
"87","Brillanz","0.004"
"88","Brüderlichkeit","0.004"
"89","Bund","0.004"
"90","Bündnis","0.004"
"91","Champion","0.004"
"92","Charisma","0.004"
"93","Charme","0.004"
"94","Cleverness","0.004"
"95","Comeback","0.0712"
"96","Dankbarkeit","0.004"
"97","Diskretion","0.004"
"98","Disziplin","0.0611"
"99","Duft","0.2149"
"100","Dynamik","0.004"
"101","Echtheit","0.004"
"102","Effizienz","0.004"
"103","Ehre","0.0732"
"104","Ehrfurcht","0.004"
"105","Ehrlichkeit","0.004"
"106","Ehrwürdigkeit","0.004"
"107","Eifer","0.004"
"108","Eigenkapital","0.004"
"109","Eignung","0.004"
"110","Eindeutigkeit","0.004"
"111","Einfallsreichtum","0.004"
"112","Einhaltung","0.004"
"113","Einheit","0.004"
"114","Einheitlichkeit","0.004"
"115","Einkauf","0.004"
"116","Einnahme","0.004"
"117","Einsparung","0.004"
"118","Einweihung","0.004"
"119","Einzigartigkeit","0.004"
"120","Eleganz","0.004"
"121","Empathie","0.004"
"122","Empfehlung","0.004"
"123","Engagement","0.2157"
"124","Entlastung","0.004"
"125","Entlohnung","0.004"
"126","Entschluß","0.0804"
"127","Entschlüsselung","0.004"
"128","Entschädigung","0.004"
"129","Entspannung","0.0875"
"130","Entwirrung","0.004"
"131","Erbe","0.004"
"132","Erfahrung","0.004"
"133","Erfolg","0.3446"
"134","Erfolgserlebnis","0.0884"
"135","Erfüllung","0.004"
"136","Ergiebigkeit","0.004"
"137","Ergänzung","0.004"
"138","Erhaltung","0.004"
"139","Erholung","0.0865"
"140","Erhöhung","0.004"
"141","Erlaubnis","0.004"
"142","Erleichterung","0.004"
"143","Erleuchtung","0.004"
"144","Erlösung","0.004"
"145","Ermutigung","0.004"
"146","Erneuerung","0.004"
"147","Ernsthaftigkeit","0.004"
"148","Ersparnis","0.004"
"149","Ertrag","0.004"
"150","Erweiterung","0.004"
"151","Erzeugnis","0.004"
"152","Experte","0.004"
"153","Expertise","0.004"
"154","Exzellenz","0.004"
"155","Fairness","0.004"
"156","Faszination","0.004"
"157","Favorit","0.004"
"158","Feier","0.0829"
"159","Fertigkeit","0.004"
"160","Fest","0.2346"
"161","Festakt","0.004"
"162","Festigkeit","0.004"
"163","Festlichkeit","0.004"
"164","Finanzierung","0.004"
"165","Fitness","0.0851"
"166","Flair","0.2216"
"167","Fleiß","0.3113"
"168","Flexibilität","0.004"
"169","Fortschritt","0.004"
"170","Freiheit","0.004"
"171","Freispruch","0.004"
"172","Freude","0.6502"
"173","Freund","0.0116"
"174","Freundlichkeit","0.0913"
"175","Freundschaft","0.2059"
"176","Frieden","0.004"
"177","Fruchtbarkeit","0.004"
"178","Funktionsfähigkeit","0.004"
"179","Furchtlosigkeit","0.004"
"180","Fähigkeit","0.0892"
"181","Förderung","0.0829"
"182","Führung","0.004"
"183","Fülle","0.004"
"184","Gabe","0.0747"
"185","Garantie","0.004"
"186","Gastfreundlichkeit","0.004"
"187","Gedenken","0.004"
"188","Geduld","0.0789"
"189","Gefallen","0.3349"
"190","Gehaltszulage","0.004"
"191","Gelassenheit","0.0721"
"192","Geldgeber","0.004"
"193","Gemeinschaft","0.004"
"194","Genauigkeit","0.004"
"195","Genehmigung","0.004"
"196","Genesung","0.004"
"197","Genialität","0.004"
"198","Genie","0.0697"
"199","Genuss","0.0701"
"200","Genuß","0.073"
"201","Gerechtigkeit","0.004"
"202","Geräumigkeit","0.004"
